	AUG-002	AUG-003	AUG-004	AUG-006	AUG-007	AUG-008	DES-001	DES-005	DES-006	DES-007	DES-008	DES-009	DES-010	DES-011	DES-012	DES-013	DES-014	DES-018	WLT-001	WLT-002	WLT-003	WLT-004	WLT-005	WLT-006	WLT-007	WLT-008	WLT-009	WLT-010	WLT-011	WLT-013	WLT-014	WLT-015	WLT-016	WLT-018	WLT-020	WLT-021	WLT-022	WLT-023	WLT-024	WLT-025	WLT-026	WLT-027	WLT-028	WLT-029	WLT-030	WLT-031	WLT-032	WLT-033	WLT-034	WLT-035	WLT-036	WLT-037
DES-011	0.23484544483661404	0.2265729099803376	0.2663636851887566	0.3145891375723591	0.2114574919294778	0.24222681232780552	0.1992706000258745	0.20641217429286998	0.2914373808539492	0.32686527937102455	0.2716839871765287	0.2345552658554483	0.2999827303232847	0.0	0.29085347530961725	0.19271296694327048	0.2939435504925523	0.2510533157163467	0.3083811749145169	0.3441807119704025	0.32978209868622943	0.35166323625132306	0.3563803613859214	0.34032082567929794	0.33103072670660166	0.35666085877263465	0.35552869014795113	0.3222465630587551	0.3034853590151689	0.33343999545069225	0.3543795679199471	0.35320256943061806	0.1551122015632316	0.316946525928811	0.24654881468698217	0.2832873083468403	0.29958946569476247	0.3212926621084116	0.28331933585423413	0.2736487439027342	0.2640766781419513	0.2858007330819821	0.2737947275132379	0.2716994061299672	0.2718336032033953	0.3139159543289895	0.2662825375755297	0.2742522584028626	0.26425816919772077	0.2768408338826382	0.12349875775963877	0.2800136459886119
DES-012	0.12822580864837374	0.17415081625782106	0.18619432161415603	0.14712005085026092	0.17104500530806208	0.1613243128118233	0.16957556753529926	0.19159891265905812	0.1048669491113773	0.159871160865724	0.09874721623039387	0.09782506975909355	0.11265320156205819	0.29085347530961725	0.0	0.2257818410396689	0.16300870972194353	0.1367147653868131	0.1393750677666501	0.19043225075779943	0.16512570411950286	0.18390750764862102	0.18872104914491872	0.17537605845762827	0.1631782421741153	0.19119647281030408	0.17705005615742223	0.15524696787306935	0.1397818399968522	0.16156086745524548	0.18422488390953282	0.18918173775671426	0.18745254578310536	0.14471370279748155	0.15357479487414463	0.18777699769238487	0.12881182564593371	0.15873120507345023	0.17974223618363344	0.12758357763512898	0.16879013279418464	0.11273184441546236	0.12762392618233107	0.10907388293934832	0.15958317543913617	0.10960334429364338	0.13408041066313783	0.10490549454206102	0.08993010629272825	0.0972664204070756	0.3017398841369347	0.1759194162101113
DES-013	0.17093133935097615	0.17653412164778148	0.25751259484382033	0.22048169277414087	0.1346278589704106	0.13295403927479857	0.12209210893858767	0.2061920371637191	0.24631699760178216	0.24604024489828136	0.2067270270310895	0.1832252470690347	0.21595729671907263	0.19271296694327048	0.2257818410396689	0.0	0.20435385074450324	0.2016029532547254	0.21773850729028005	0.2447226968363465	0.236276111516171	0.2509822742424946	0.2612182238386619	0.24304083914755265	0.24049291272638304	0.2488733125272388	0.24168848410698562	0.21891004425668606	0.22171341146153672	0.2315914723231474	0.255259585102762	0.24808674696810454	0.10117800967217815	0.22758273199005125	0.12732653188405063	0.15160066236816744	0.23101595476557296	0.24326201861724867	0.1767931713788801	0.20681585176382772	0.2658768359092348	0.2394160818254321	0.23716166791513937	0.2327216315472044	0.2776896518331897	0.23567176446882085	0.21041282094115507	0.2261356183781519	0.21280932301262073	0.21439925905017618	0.12229376249860476	0.18160760058420045
DES-014	0.13603555037416198	0.18805464530592525	0.23641681736773867	0.1567914023689409	0.16156820428324065	0.11262125515410638	0.18912432995382153	0.21621681825269454	0.12260639968699752	0.1089059075545996	0.12894216265546932	0.13152114382904412	0.14671388673311775	0.2939435504925523	0.16300870972194353	0.20435385074450324	0.0	0.13126762857737573	0.1644949641932267	0.13439255781565346	0.12670477618964468	0.11317218430882522	0.16128461357577945	0.12569244488977277	0.09668073487045496	0.13466105931166195	0.13040131099518704	0.10592641443516446	0.11507001173195364	0.12130240943501806	0.1356578277865129	0.12917654362578276	0.17846739199820771	0.11991573549015747	0.14207936118106423	0.11585669546818722	0.14073246440643875	0.12844954192773717	0.08803775245785869	0.17228496215717853	0.2334648120720924	0.18636211100876193	0.20718114298993812	0.19888948794511271	0.2358820142253898	0.145727513224663	0.21459663822248615	0.1817421761221776	0.1797030007359737	0.12043472400064091	0.29076057874153094	0.08293973499974393
DES-018	0.1066175673046229	0.131570993179017	0.18443261369800956	0.1534409343885647	0.15269886764856822	0.14514023067744522	0.15136811559155794	0.18546625475448375	0.13661066418821904	0.1606141388429402	0.12621494066582437	0.1170371645337645	0.1437014837030545	0.2510533157163467	0.1367147653868131	0.2016029532547254	0.13126762857737573	0.0	0.1442770154360043	0.21264137090910548	0.1672782763192157	0.18551270186981483	0.2033527745504663	0.1993611417125385	0.1584350930633093	0.21620829077610162	0.199532861730648	0.17742520128962413	0.15374295549069097	0.19008294254547192	0.21031391327607898	0.20908821718041778	0.1423743822484937	0.16403734864196698	0.14738547384747958	0.18265413147235332	0.15519711544241674	0.184234422928021	0.18046841877715858	0.15133122629755366	0.1829643091994431	0.1521721274119234	0.16791735239760106	0.16636717091241188	0.19629127819985398	0.17060508011465592	0.1869074375654058	0.15738285503418128	0.14192165482122965	0.1411635623831604	0.27478728251290874	0.17195018347679095
WLT-001	0.12762438673658252	0.11716174544117856	0.1465069003162032	0.07767294022462991	0.19858803167808328	0.1487926930714578	0.20153967087186997	0.23603254845729088	0.1402034804904474	0.1259193253186728	0.1313009443314043	0.14515312332366676	0.13522071126974933	0.3083811749145169	0.1393750677666501	0.21773850729028005	0.1644949641932267	0.1442770154360043	0.0	0.1643806029442126	0.11030476146940836	0.16040417850028815	0.16293244562634704	0.15602167294000843	0.1319823579616004	0.168544078700585	0.16088775834725638	0.15767625033431182	0.11041784881477773	0.15865686469181656	0.16635169516686424	0.16652543220186386	0.177718446071691	0.1217586737556005	0.17587433525893997	0.1757407366963846	0.10820961774250229	0.13773401671099164	0.16980309031179103	0.17739623516393577	0.20157700496000877	0.15980308397875087	0.19587031892969015	0.18045712642416786	0.22767163430064086	0.13743764835743383	0.20224373224691344	0.17321565354153298	0.17596298216679315	0.12842188449708902	0.3134845636627153	0.16269810149609684
WLT-002	0.19214277709254782	0.2337191610158587	0.23893175956614768	0.14705403867852834	0.21599535541028295	0.17147566413123336	0.2466262009166741	0.2779742945161877	0.1614747502239318	0.08498041509637011	0.16921111439120332	0.18540429582765441	0.17149592525504928	0.3441807119704025	0.19043225075779943	0.2447226968363465	0.13439255781565346	0.21264137090910548	0.1643806029442126	0.0	0.07112182975975755	0.055726250101336174	0.14113395361672262	0.0449030884819293	0.09179080248793904	0.030945060423928087	0.048407719266815516	0.0778295783288894	0.10450713686995061	0.052474407266710404	0.0435293978720103	0.03659874971731631	0.2330740058814073	0.10237400609817185	0.1798549733243123	0.1120591671730256	0.1420913450462707	0.08747285547114156	0.0840532754854081	0.19787207689817782	0.25321071848482	0.21754400235906993	0.23867927307319348	0.22666854537578932	0.2705612127772028	0.14324718147414844	0.23172024746613554	0.2145085618753381	0.20883959028447022	0.15708487442066138	0.33737249816368886	0.08623911477031007
WLT-003	0.15322761210997354	0.18975899731251478	0.2002406332926922	0.09782669650139927	0.1995147905203806	0.15981090293326697	0.22586188736003834	0.2655777924806823	0.1430439984687769	0.05210189774622411	0.14798012908835015	0.16565259044172248	0.15193707896760766	0.32978209868622943	0.16512570411950286	0.236276111516171	0.12670477618964468	0.1672782763192157	0.11030476146940836	0.07112182975975755	0.0	0.06776603510621586	0.12672958626100778	0.07306753987799855	0.06927493141754142	0.08229538564335084	0.07533130119254877	0.08332817957163567	0.07227495979006068	0.07379973813949291	0.07227333045989291	0.07041922431247973	0.2039256000121158	0.07206514789810911	0.1646785563916885	0.11823245487233948	0.11195249659984803	0.06340359473205939	0.09803430736000496	0.18295814851551867	0.23140824030847987	0.18738698271004905	0.2225944745386662	0.20599134823632806	0.256278655620377	0.1265921097533071	0.22505459884168488	0.19867220288207962	0.19373996824384906	0.1358055342244804	0.3318771311813412	0.08610776196853394
WLT-004	0.18811574842969092	0.23525940567625298	0.23293854919736504	0.14111098674126463	0.21895633781254822	0.156021711306633	0.24772586309418104	0.2804526689651423	0.14177361279945536	0.05925321890757691	0.16536106647137666	0.1868286871869328	0.1636846558458719	0.35166323625132306	0.18390750764862102	0.2509822742424946	0.11317218430882522	0.18551270186981483	0.16040417850028815	0.055726250101336174	0.06776603510621586	0.0	0.11617868352578212	0.062472485595251225	0.06886078751204427	0.07239693189850599	0.04548798415384467	0.10372243087570686	0.09847168704166737	0.07097189564565151	0.05344096081507327	0.04592055183417353	0.23275578725691312	0.09741996783439721	0.1864427228290184	0.13385902682777953	0.13864100143873503	0.08578408349769163	0.10553734380994254	0.20558551919125642	0.2608701618725696	0.21278317786822934	0.244855811741734	0.23336814034324024	0.2739156414559217	0.15442714748542996	0.24495215770455	0.22005183579073592	0.21318543122396097	0.15071742921032732	0.34948635214416335	0.09112172618974713
WLT-005	0.19529635238842796	0.23911614837291909	0.2350648006190399	0.14930561374129317	0.22899251472516435	0.17124136888902325	0.2548830209141556	0.282703448397614	0.1707510640674054	0.11746127951551841	0.17477884249900077	0.19359130034480457	0.17829863844212707	0.3563803613859214	0.18872104914491872	0.2612182238386619	0.16128461357577945	0.2033527745504663	0.16293244562634704	0.14113395361672262	0.12672958626100778	0.11617868352578212	0.0	0.13701606300521135	0.11726901772910196	0.15488634614270455	0.12654936950923032	0.1601686756631685	0.13617087929419452	0.14180011096793202	0.14010271949841918	0.13488384110745233	0.23910153755083127	0.142238971034052	0.19955160721168672	0.18020502065537233	0.15319792338194263	0.13821007132184437	0.16484762346578066	0.21419374127316096	0.26402123444619896	0.21359794237840665	0.2511076811200528	0.24038449950896168	0.282024530820046	0.17050101005432278	0.2506938277025419	0.22791772076431188	0.21708227575872413	0.16856515177556644	0.35516488536871704	0.14898739329757563
WLT-006	0.1807112528185836	0.2255186247937494	0.22903613689707258	0.1467379443402333	0.2051148247861694	0.16283807865887456	0.2347765232364957	0.26483095990471545	0.14903959642155223	0.07641996488445535	0.16048024249143633	0.17513432488845687	0.14362305891587604	0.34032082567929794	0.17537605845762827	0.24304083914755265	0.12569244488977277	0.1993611417125385	0.15602167294000843	0.0449030884819293	0.07306753987799855	0.062472485595251225	0.13701606300521135	0.0	0.09389287129383679	0.051039370102772146	0.05602031803327117	0.08274246020615768	0.09246894732824178	0.054195228496464624	0.05011018430393042	0.04130350007491536	0.22694034440153238	0.09386823226675273	0.17613212851679683	0.12061347584056238	0.12809139575911271	0.07192926542834088	0.08397141988713736	0.1900895852246808	0.2461479437874907	0.2026226235603685	0.22749994439175672	0.2160154629391309	0.26197886716751295	0.1382352422837638	0.22359254227295897	0.20411213755902854	0.20064504076318795	0.1416543971176061	0.3371594693315931	0.09016532896321336
WLT-007	0.16211295677442006	0.2132527622981779	0.20723507892406262	0.12397980970700191	0.20599454092175193	0.13984129858522254	0.22760320871018394	0.2570375427704349	0.11722855145454227	0.05333478934047716	0.14680341060075675	0.16760556154975517	0.16010979871511938	0.33103072670660166	0.1631782421741153	0.24049291272638304	0.09668073487045496	0.1584350930633093	0.1319823579616004	0.09179080248793904	0.06927493141754142	0.06886078751204427	0.11726901772910196	0.09389287129383679	0.0	0.10386719657989649	0.08863509415382313	0.10028204808070525	0.08472110598415684	0.09416234219479634	0.09416296044789323	0.09278201376678202	0.209748510889656	0.07292053924172123	0.16972145278916734	0.1294884198297466	0.12047742038063883	0.08474539663627807	0.1107802684536473	0.18147423926847017	0.22904736421117433	0.18534969497392303	0.2182756903761987	0.20607591669354575	0.2457349643537235	0.1256715012315234	0.21815011715826038	0.19188826776068937	0.19327651115956707	0.133848215395966	0.33426196212066306	0.09004340318490252
WLT-008	0.19861048233297407	0.24479489592866585	0.25311793164030355	0.15500209487483316	0.21267360083675854	0.18067473015333013	0.25517925204965175	0.282931309440757	0.16751682461714434	0.10000434379828235	0.17328971502717766	0.18880333422843043	0.1587714465732525	0.35666085877263465	0.19119647281030408	0.2488733125272388	0.13466105931166195	0.21620829077610162	0.168544078700585	0.030945060423928087	0.08229538564335084	0.07239693189850599	0.15488634614270455	0.051039370102772146	0.10386719657989649	0.0	0.06022442524671234	0.07198454771537768	0.10373921718849843	0.04839610094279495	0.043698125288119394	0.04136249178324563	0.2358778831152019	0.10338418744187038	0.18014824038706953	0.11473343220184415	0.13345668817667017	0.08258994169951198	0.0847874619367877	0.20119974927840226	0.25630471635248386	0.2159673240118713	0.23849702780010343	0.22798492810870824	0.27440284601211357	0.14431253015897694	0.22920011082428177	0.21603856075493655	0.20950831133242379	0.16120377262267033	0.3413795478510562	0.09955623949666892
WLT-009	0.19382420405244413	0.23240962712773863	0.23506289747028714	0.14464232632563168	0.22458532983348695	0.1624783218446713	0.252418439126661	0.2758332023930179	0.15697297924901507	0.07766356783114961	0.16846866907885008	0.19098019371378466	0.156866004195078	0.35552869014795113	0.17705005615742223	0.24168848410698562	0.13040131099518704	0.199532861730648	0.16088775834725638	0.048407719266815516	0.07533130119254877	0.04548798415384467	0.12654936950923032	0.05602031803327117	0.08863509415382313	0.06022442524671234	0.0	0.09787966404350217	0.10097915395139674	0.06886008899299921	0.04955106099483085	0.046138918015467746	0.23787105580727624	0.0983152590346974	0.19128613727640548	0.12624240885408985	0.14548789979244808	0.08812896656130226	0.10151240321345413	0.20888520040532377	0.26651741216828656	0.21676559087383432	0.24646338928198833	0.23728250286104913	0.27688815655719146	0.15175667417571923	0.24063246090065157	0.2220441433275227	0.21270134324593368	0.15422828893906132	0.34722893785409875	0.09031045299190368
WLT-010	0.1636395433583343	0.2152474179378848	0.23655767215553472	0.1492115088571721	0.17165683620999678	0.15723962071985048	0.21813544831420553	0.24941347125419883	0.1429488865416401	0.1018198948328058	0.12002522639482413	0.14273376206006305	0.12749670586164152	0.3222465630587551	0.15524696787306935	0.21891004425668606	0.10592641443516446	0.17742520128962413	0.15767625033431182	0.0778295783288894	0.08332817957163567	0.10372243087570686	0.1601686756631685	0.08274246020615768	0.10028204808070525	0.07198454771537768	0.09787966404350217	0.0	0.09629213035622804	0.05757806958165734	0.088915233171876	0.08442697834771884	0.19996175230266028	0.09374333966415709	0.14365745286581577	0.08615705347353195	0.12268516055900537	0.08366408705032526	0.06680573684403529	0.1519581478439682	0.22494202893001633	0.18013891007373942	0.18997249247600764	0.1842843637390737	0.22519869305144943	0.11536998738766573	0.18612907146648894	0.1685546620077712	0.1639906892418777	0.11692679033787613	0.30902137886232756	0.07955358474797845
WLT-011	0.13778712975830382	0.18456188000733614	0.19807390657117005	0.12640181053190427	0.18480302130229923	0.14676514302161528	0.1978972522570868	0.23670345529620165	0.10475244611272976	0.08069659722002868	0.12052625848673532	0.13334497084490987	0.12234564815677068	0.3034853590151689	0.1397818399968522	0.22171341146153672	0.11507001173195364	0.15374295549069097	0.11041784881477773	0.10450713686995061	0.07227495979006068	0.09847168704166737	0.13617087929419452	0.09246894732824178	0.08472110598415684	0.10373921718849843	0.10097915395139674	0.09629213035622804	0.0	0.08224987605758698	0.10086958956223814	0.10331266753049642	0.1752367797873825	0.06372074909199772	0.1552458399637003	0.1349586631048683	0.10050742935089539	0.07006791422012892	0.11177122400127365	0.16827517349088134	0.20895623476545785	0.16655559085676253	0.19932617589024804	0.1839809524941728	0.23632971867845512	0.1266269488823158	0.20480872247643914	0.17158494959172063	0.16782518317268688	0.09674825305198353	0.3155631663807896	0.10874639071821958
WLT-013	0.17539386581394487	0.22505251617560978	0.23740686640094194	0.152039176023455	0.19346838087873516	0.16768919468015986	0.2276315197196709	0.25777336480921487	0.14227166292951599	0.0928148314862101	0.14588967348410264	0.15547979577294013	0.14893781023022856	0.33343999545069225	0.16156086745524548	0.2315914723231474	0.12130240943501806	0.19008294254547192	0.15865686469181656	0.052474407266710404	0.07379973813949291	0.07097189564565151	0.14180011096793202	0.054195228496464624	0.09416234219479634	0.04839610094279495	0.06886008899299921	0.05757806958165734	0.08224987605758698	0.0	0.0529304964473589	0.052518018793985204	0.214684605460461	0.08672645037936008	0.1540992823579868	0.10670008256413527	0.11576358294604851	0.06815836719232876	0.07593995126989153	0.177298564873873	0.2382411919666041	0.19628254897963904	0.2108828551682681	0.20314857261345537	0.24944187126528772	0.12354124214691657	0.20983262984950588	0.19219776388402007	0.18260524919808344	0.1293192880372629	0.3241653749784057	0.09223848911032298
WLT-014	0.1969696949339118	0.2429968913469362	0.24217743237694633	0.14333878173814632	0.21165975268402745	0.17454260354799378	0.24905792650939326	0.27893037476618887	0.16502549092647462	0.08310146354835209	0.1688469743481926	0.1857966673130574	0.16133649146600085	0.3543795679199471	0.18422488390953282	0.255259585102762	0.1356578277865129	0.21031391327607898	0.16635169516686424	0.0435293978720103	0.07227333045989291	0.05344096081507327	0.14010271949841918	0.05011018430393042	0.09416296044789323	0.043698125288119394	0.04955106099483085	0.088915233171876	0.10086958956223814	0.0529304964473589	0.0	0.02968423136050255	0.23980628720197247	0.09475046997825962	0.1797764882263258	0.12585061161981378	0.13089616009151678	0.07302695018479549	0.09585230909437394	0.2044235084453777	0.2579826667495286	0.21205880262054427	0.24190231361288939	0.2306788386236629	0.2733151517827274	0.14703747302386497	0.24071941793889493	0.2166193728558193	0.20787936077290883	0.154125508943744	0.3476041455886173	0.10081804912905631
