	AUG-002	AUG-003	AUG-004	AUG-006	AUG-007	AUG-008	DES-001	DES-005	DES-006	DES-007	DES-008	DES-009	DES-010	DES-011	DES-012	DES-013	WLT-011	WLT-014	WLT-015	WLT-016	WLT-018	WLT-020	WLT-022	WLT-023	WLT-027	WLT-031	WLT-032	WLT-033	WLT-034	WLT-035	WLT-036
DES-008	0.28142416605325504	0.3298451316828174	0.2910455315263493	0.32927543900050976	0.20091590123433317	0.369248187349851	0.19260298258257577	0.23975915002604453	0.20178218282088656	0.2889364657519582	0.0	0.07771393352110045	0.32343869968210215	0.12747573668510168	0.10982219896770963	0.3360298124733785	0.259757628442382	0.11705366108976384	0.11803104494193806	0.3019690570564443	0.3373122513301462	0.19708687816040854	0.2273538602242145	0.11893729087793978	0.2139032379853711	0.32848530118080227	0.18054956608507408	0.1874195044643619	0.1416683808302387	0.1863826058921358	0.20956374510993125
DES-009	0.2765896439308081	0.31843838208830605	0.2782895258975944	0.31314234627400517	0.1901066508159846	0.35392238089861594	0.17280742162653884	0.217655118903603	0.1839785818632459	0.2697977997652247	0.07771393352110045	0.0	0.30971695232514895	0.1013088951902986	0.08261404064035625	0.3224588237963816	0.2363959217779069	0.11100969854577554	0.11108370077373758	0.2883980683794474	0.31516333426885207	0.18740202992474012	0.21862771354575075	0.10997542170130457	0.2062573187741796	0.30771634043337953	0.18344334057703193	0.17866552010399206	0.12235984060006698	0.15758452535284656	0.22402296489157747
DES-010	0.12584468624526998	0.21196089150152714	0.1285584216730346	0.19582474183425042	0.20480069131476253	0.17475698892813923	0.18908454933689126	0.21111736371161896	0.21751262854986925	0.12557867007070078	0.32343869968210215	0.30971695232514895	0.0	0.25387168416776595	0.2764163557535341	0.11548686793850593	0.10607930901509585	0.2845145907005803	0.29221908367229127	0.12254999824665244	0.06849487344917919	0.19818088682093218	0.25096655034242016	0.2886063614329868	0.2628380108252032	0.24329867254660964	0.2593572098771903	0.24757603095358924	0.26908862311157306	0.18756477816907635	0.2787577296047379
DES-011	0.22451547173587005	0.3022004235605706	0.22435151418582436	0.2636095541815261	0.14330810997713428	0.34164303342867053	0.1572905312590896	0.20822025938292593	0.10968277218559978	0.22334143901454903	0.12747573668510168	0.1013088951902986	0.25387168416776595	0.0	0.08402552585388093	0.2666135556389985	0.18944075668989216	0.1193459281735188	0.10758097603610266	0.23412129831197392	0.24994190671684027	0.1391941871450285	0.1681203868052635	0.12337685706979626	0.2178921886552263	0.26846048979341	0.14300061468127157	0.1795394314307097	0.11155897339658154	0.11561163027476984	0.19737170872507617
DES-012	0.23180280652938917	0.28968718462811105	0.24430739139605712	0.2846540762411357	0.14642601097105898	0.32536684782934266	0.14869330513354187	0.17324434408156802	0.14737411180713328	0.2400229633350455	0.10982219896770963	0.08261404064035625	0.2764163557535341	0.08402552585388093	0.0	0.28915822722476664	0.20322876452736288	0.1052870638552901	0.09076483099942029	0.2550974718078325	0.2792695060392485	0.14728878362556047	0.18603683042011224	0.10460293373501146	0.1701193767233739	0.28045761504065986	0.15366765531011217	0.16236025566482737	0.10165844664960558	0.13011205461605946	0.1762980610104028
DES-013	0.15183824296566334	0.2585067142959431	0.07842677176247342	0.13874157315744562	0.2201876134497244	0.26445152681118417	0.20468408995028023	0.21653739527774193	0.23591668996024875	0.06919485920573425	0.3360298124733785	0.3224588237963816	0.11548686793850593	0.2666135556389985	0.28915822722476664	0.0	0.1208721248805954	0.2971057034918567	0.3051117208642787	0.055165081330707716	0.1585437463001971	0.2263247399774632	0.28255597253911124	0.3006632163913487	0.27949137599214574	0.25558706203188913	0.28110342893356444	0.2601671437448656	0.28183049458280557	0.20206224132950207	0.3033219380546592
WLT-011	0.08622701316325883	0.2136768213162547	0.1194244905542892	0.20226795591666952	0.14470348167043698	0.25319457971807463	0.12506100777481033	0.19988952056804843	0.1431933172969712	0.11343185967808901	0.259757628442382	0.2363959217779069	0.10607930901509585	0.18944075668989216	0.20322876452736288	0.1208721248805954	0.0	0.23577305176890268	0.23857959411370386	0.09992735052860999	0.12076780896688306	0.1456355902065306	0.20989591675724983	0.23652865730784087	0.20968663517191888	0.245227237768158	0.22402555644886424	0.20127579233396872	0.19868481276222408	0.12230612196505139	0.23023941486968402
WLT-014	0.2519361384394717	0.29463152486889704	0.2543531215819589	0.2936674354576655	0.16497770893743974	0.325806097556493	0.17405205032173218	0.2066902602059421	0.1781897827530278	0.2585612880061062	0.11705366108976384	0.11100969854577554	0.2845145907005803	0.1193459281735188	0.1052870638552901	0.2971057034918567	0.23577305176890268	0.0	0.056836073175384826	0.26159395777756583	0.29660063063282455	0.15036919108921548	0.20171405363450778	0.047540604630793126	0.19573208383927407	0.27767940723492757	0.17638446815635386	0.1403749925202798	0.1208147034635272	0.165233963494699	0.17443578456385664
WLT-015	0.25060320266005126	0.3026375422413189	0.26235913895438084	0.2965453175049816	0.17206701617712855	0.33381211492891494	0.17614413616091626	0.20956814225325798	0.18107450193289978	0.2665673053785282	0.11803104494193806	0.11108370077373758	0.29221908367229127	0.10758097603610266	0.09076483099942029	0.3051117208642787	0.23857959411370386	0.056836073175384826	0.0	0.2695999751499877	0.29861446414708054	0.16573937761595348	0.21310922227091167	0.04278920444975801	0.17435037671256537	0.3029597216733825	0.17534454303591102	0.13241138185509801	0.0954008730916664	0.16080567592361295	0.17128730853826368
WLT-016	0.12248477652657203	0.2470531653527635	0.04656951429470336	0.12731068058731812	0.18879794041902784	0.27745658147898006	0.1740957706097513	0.18753249657041063	0.20579079342573944	0.033617296093332236	0.3019690570564443	0.2883980683794474	0.12254999824665244	0.23412129831197392	0.2550974718078325	0.055165081330707716	0.09992735052860999	0.26159395777756583	0.2695999751499877	0.0	0.15683115699949693	0.201338634527501	0.26498166735832107	0.2665144225347864	0.2596376146608719	0.24415616946176166	0.2538528513699613	0.230420553815817	0.24776973916587158	0.16611962082211187	0.2737079071129458
